corp_code,corp_name,stock_code,ksic,industry,revenue,operating_profit,net_income,assets,equity,fiscal_year
10000000,삼성전자,001000,C26,반도체,280000,32000,25000,450000,300000,2025
10000001,SK하이닉스,001017,C26,반도체,55000,12000,9000,110000,70000,2025
10000002,현대자동차,001034,C30,자동차,160000,14000,11000,280000,90000,2025
10000003,기아,001051,C30,자동차,95000,10000,8000,120000,55000,2025
10000004,LG에너지솔루션,001068,C28,배터리,28000,2500,1800,45000,20000,2025
10000005,네이버,001085,J62,IT서비스,10000,1800,1200,30000,22000,2025
10000006,카카오,001102,J62,IT서비스,7500,400,200,18000,10000,2025
10000007,포스코홀딩스,001119,C24,철강,75000,5000,3500,90000,50000,2025
10000008,셀트리온,001136,C21,바이오,2800,900,700,8000,5500,2025
10000009,KB금융,001153,K64,금융,18000,6000,4500,700000,50000,2025
10000010,신한지주,001170,K64,금융,16000,5500,4000,650000,45000,2025
10000011,아모레퍼시픽,001187,C20,화장품,4200,350,250,7000,4000,2025
